,Location,Longitude,Latitude,Borough,FIPS
1305,GOULDEN AV,-73.893738,40.875838,Bronx,360050409001003
1306,Van Cortlandt Av West,-73.892976,40.883523,Bronx,360050281001001
1307,MORRIS PARK AV BETWEEN EASTCHESTER & SEMINOLE,-73.84472,40.85133,Bronx,360050296002000
1308,WHITE PLAINS RD,-73.86774799999999,40.856919,Bronx,360050224011001
1309,WHITE PLAINS RD,-73.858864,40.824712,Bronx,360050042006002
1310,BOSTON RD,-73.869885,40.856173999999996,Bronx,360050334001028
1311,BOSTON RD,-73.905286,40.82707,Bronx,360050185003004
1312,W FORDHAM RD,-73.905412,40.862864,Bronx,360050263001001
1313,W FORDHAM RD,-73.908523,40.862668,Bronx,360050255003000
1314,WHITE PLAINS RD,-73.866079,40.877718,Bronx,360050378003004
1315,GOULDEN AV,-73.894426,40.875337,Bronx,360050409001002
1316,E 233 ST,-73.84903100000001,40.890843,Bronx,360050426002004
1317,W 205 ST,-73.890033,40.877003,Bronx,360050409001003
1318,W 230 ST,-73.90990500000001,40.879564,Bronx,360050293021000
1319,Concourse Village East,-73.919189,40.824061,Bronx,360050173004001
1320,KAZIMIROFF BLVD,-73.881908,40.866245,Bronx,360050334001021
1321,EASTCHESTER RD BETWEEN WATER PL & BASSET AV,-73.84451999999999,40.84672,Bronx,360050284001010
1322,SOUTHERN BLVD,-73.88045100000001,40.860865999999994,Bronx,360050334001021
1323,SOUTHERN BLVD,-73.8821,40.8514,Bronx,360050334001041
1324,Grand Concourse,-73.898836,40.858791,Bronx,360050383013001
1325,BAILEY AV,-73.894622,40.885290999999995,Bronx,360050279005000
1326,WEBSTER AV,-73.861796,40.900777000000005,Bronx,360050451022004
1327,BOSTON RD,-73.89044799999999,40.835793,Bronx,360050155002002
1328,ZEREGA AV,-73.846026,40.813009,Bronx,360050090001010
1329,E 180 ST,-73.884755,40.846021,Bronx,360050365012000
1330,E 149 ST,-73.908523,40.813214,Bronx,360050073001002
1331,WHITE PLAINS RD,-73.862652,40.833473,Bronx,360050216025005
1332,Williamsbridge Rd,-73.84898000000001,40.846821999999996,Bronx,360050256001000
1333,Grand Concourse,-73.909083,40.846938,Bronx,360050227012002
1334,Grand Concourse,-73.9067,40.849012,Bronx,360050233012000
1335,Grand Concourse,-73.910997,40.84557,Bronx,360050227013007
1336,WESTCHESTER AV,-73.85995,40.833157,Bronx,360050092001002
1337,Castle Hill Av,-73.84904300000001,40.823921,Bronx,360050098002003
1338,E 134 ST,-73.912986,40.80164,Bronx,360050019003024
1339,3 AV,-73.921684,40.81384,Bronx,360050043002008
1340,ALLERTON AV,-73.843078,40.865309,Bronx,360050360003008
1341,E 149 ST,-73.90674399999999,40.812847999999995,Bronx,360050079004003
1342,LAFAYETTE AV,-73.85607900000001,40.822424,Bronx,360050016003000
1343,ST ANN'S AV,-73.91635600000001,40.808335,Bronx,360050027024000
1344,Grand Concourse,-73.921941,40.828818,Bronx,360050195002001
1345,E 233 ST,-73.857753,40.893637,Bronx,360050420001000
1346,E GUN HILL RD,-73.866388,40.877485,Bronx,360050378003004
1347,BAINBRIDGE AV,-73.87787900000001,40.886503999999995,Bronx,360050431004000
1348,PROSPECT AV,-73.896573,40.833677,Bronx,360050151001000
1349,MORRIS AV,-73.911103,40.838176000000004,Bronx,360050225003001
1350,Bruckner Blvd,-73.840503,40.828208000000004,Bronx,360050090002001
1351,RIVERDALE AV,-73.90266700000001,40.912781,Bronx,360050319001000
1352,E FORDHAM RD,-73.890443,40.861331,Bronx,360050397001002
1353,W FORDHAM RD,-73.91149899999999,40.861588,Bronx,360050257001001
1354,W FORDHAM RD,-73.911422,40.861796999999996,Bronx,360050269001011
1355,W FORDHAM RD,-73.90535600000001,40.862862,Bronx,360050263001001
1356,E FORDHAM RD,-73.900526,40.862464,Bronx,360050239001001
1357,W FORDHAM RD,-73.901764,40.862893,Bronx,360050265003001
1358,BAINBRIDGE AV,-73.879697,40.874904,Bronx,360050419003000
1359,PELHAM PKWY,-73.866976,40.856732,Bronx,360050224031001
1360,PELHAM PKWY,-73.867035,40.856735,Bronx,360050224031001
1361,PELHAM PKWY,-73.86840500000001,40.857315,Bronx,360050224011000
