LAW_CAT_CD,Latitude,Longitude,FIPS
VIOLATION,40.582908237,-73.96124964100001,360470366001012
VIOLATION,40.785494891999996,-73.972903879,360610169003001
VIOLATION,40.785494891999996,-73.972903879,360610169003001
VIOLATION,40.784790413,-73.97713631100001,360610167004000
VIOLATION,40.739161316,-74.001105672,360610081006000
VIOLATION,40.652390625,-73.97334354899999,360470502022000
VIOLATION,40.599549586,-73.981938688,360470406003001
VIOLATION,40.668926923,-73.922581733,360470359003001
VIOLATION,40.84614863,-73.934234259,360610261002000
VIOLATION,40.617149289000004,-74.030665067,360470058002002
VIOLATION,40.67135982,-73.881811023,360471164002002
VIOLATION,40.712567038,-73.789492588,360810458001010
VIOLATION,40.577587416,-73.976336071,360470354002000
VIOLATION,40.615157724,-73.963860287,360470454001003
VIOLATION,40.651940039,-73.962006001,360470508043000
VIOLATION,40.765397475,-73.985702264,360610139004000
VIOLATION,40.58766357,-73.810559779,360810942021024
VIOLATION,40.604551973,-73.99652979,360470288002000
VIOLATION,40.737555641,-74.000416424,360610077001001
VIOLATION,40.842298884,-73.84810516600001,360050200003000
VIOLATION,40.619161811,-74.14919987399999,360850251002006
VIOLATION,40.594451546,-73.944611067,360470594023002
VIOLATION,40.611518097,-73.992870129,360470268003001
VIOLATION,40.846533721,-73.865596429,360050232002001
VIOLATION,40.767769924,-73.869412438,360810357003003
VIOLATION,40.711933313,-73.998226754,360610027001006
VIOLATION,40.694342279000004,-73.822366144,360810148001005
VIOLATION,40.716814748000004,-73.852229376,360810709002007
VIOLATION,40.820964301,-73.941477939,360610232003000
VIOLATION,40.686627968,-73.823179956,360810158023004
VIOLATION,40.811194268,-73.857723945,360050002002001
VIOLATION,40.525421826,-74.211615123,360850208033015
VIOLATION,40.666035438,-73.771136884,360810306003013
VIOLATION,40.685653561,-73.814456783,360810164001002
VIOLATION,40.880069548,-73.87637007800001,360050431008000
VIOLATION,40.850288299,-73.903871118,360050235022000
