,NAME,LINE,Longitude,Latitude,FIPS
892,8th Ave & 50th St at SW corner,C-E,-73.986378,40.762312,3.61E+14
893,8th Ave & 49th St at SW corner,C-E,-73.986924,40.761741,3.61E+14
894,8th Ave & 49th St at SW corner,C-E,-73.986805,40.761691,3.61E+14
895,8th Ave & 42nd St at NE corner,A-C-E-N-Q-R-S-1-2-3-7,-73.989582,40.757286,3.61E+14
896,8th Ave & 40th St at SW corner,A-C-E-N-Q-R-S-1-2-3-7,-73.991049,40.755989,3.61E+14
897,8th Ave & 40th St at SE corner,A-C-E-N-Q-R-S-1-2-3-7,-73.990576,40.755801,3.61E+14
898,8th Ave & 40th St at NW corner,A-C-E-N-Q-R-S-1-2-3-7,-73.990887,40.756101,3.61E+14
899,,A-C-E,-73.993327,40.751996,3.61E+14
900,8th Ave & 34th St at SE corner,A-C-E,-73.993352,40.75202,3.61E+14
901,8th Ave & 34th St at NE corner,A-C-E,-73.993109,40.752161,3.61E+14
902,8th Ave & 23rd St at SE corner,C-E,-73.998365,40.745102,3.61E+14
903,8th Ave & 23rd St at NE corner,C-E,-73.998145,40.745299,3.61E+14
904,8th Ave & 16th St at SW corner,A-C-E-L,-74.001919,40.740938,3.61E+14
905,8th Ave & 16th St at NW corner,A-C-E-L,-74.001715,40.741235,3.61E+14
906,8th Ave & 16th St at SE corner,A-C-E-L,-74.001402,40.740944,3.61E+14
907,8th Ave & 16th St at NE corner,A-C-E-L,-74.001284,40.741046,3.61E+14
